NCM;EX;DESCRIÄ«O;AL÷QUOTA;
70.13;;Objetos de vidro para serviáo de mesa, cozinha, toucador, escrit¢rio, ornamentaá∆o de interiores ou usos semelhantes (exceto os das posiá‰es 70.10 ou 70.18).;;
7013.10.00;;- Objetos de vitrocerÉmica ;6,5;
7013.2;;- Copos com pÇ, exceto de vitrocerÉmica:;;
7013.22.00;;-- De cristal de chumbo ;9,75;
7013.28.00;;-- Outros ;9,75;
7013.3;;- Outros copos, exceto de vitrocerÉmica:;;
7013.33.00;;-- De cristal de chumbo ;9,75;
7013.37.00;;-- Outros ;9,75;
7013.4;;- Objetos para serviáo de mesa (exceto copos) ou de cozinha, exceto de vitrocerÉmica:;;
7013.41.00;;-- De cristal de chumbo ;6,5;
7013.42;;-- De vidro com um coeficiente de dilataá∆o linear n∆o superior a 5 x 10-6 por Kelvin, entre 0 ¯C e 300 ¯C;;
7013.42.10;;Cafeteiras e chaleiras ;6,5;
7013.42.90;;Outros ;6,5;
7013.42.90;01;Decantadores de vinho;9,75;
7013.49.00;;-- Outros ;6,5;
7013.49.00;01;Decantadores de vinho;9,75;
7013.9;;- Outros objetos:;;
7013.91;;-- De cristal de chumbo;;
7013.91.10;;Para ornamentaá∆o de interiores ;9,75;
7013.91.90;;Outros ;9,75;
7013.99.00;;-- Outros ;9,75;
7014.00.00;;Artigos de vidro para sinalizaá∆o e elementos de ¢ptica de vidro (exceto os da posiá∆o 70.15), n∆o trabalhados opticamente. ;9,75;
7014.00.00;01;De vidro ¢ptico;0;
70.15;;"Vidros de relojoaria e vidros semelhantes, vidros para lentes, mesmo corretivas, curvos ou arqueados, ocos ou semelhantes, n∆o trabalhados opticamente; esferas ocas e segmentos de esferas, de vidro, para fabricaá∆o desses vidros.";;
7015.1;;- Vidros para lentes corretivas;;
7015.10.10;;Fotocrom†ticos ;0;
7015.10.9;;Outros;;
7015.10.91;;Brancos ;0;
7015.10.92;;Coloridos ;0;
7015.9;;- Outros;;
7015.90.10;;Vidros de relojoaria ;9,75;
7015.90.20;;Vidros para m†scaras, ¢culos ou anteparos, protetores ;9,75;
7015.90.30;;Vidros para os demais ¢culos ;9,75;
7015.90.90;;Outros ;9,75;
70.16;;"Blocos, placas, tijolos, ladrilhos, telhas e outros artigos, de vidro prensado ou moldado, mesmo armado, para construá∆o; cubos, pastilhas e outros artigos semelhantes, de vidro, mesmo com suporte, para mosaicos ou decoraá‰es semelhantes; vitrais de vidro; vidro denominado ""multicelular"" ou ""espuma"" de vidro, em blocos, painÇis, chapas e conchas ou formas semelhantes.";;
7016.10.00;;- Cubos, pastilhas e outros artigos semelhantes, de vidro, mesmo com suporte, para mosaicos ou decoraá‰es semelhantes ;9,75;
7016.90.00;;- Outros ;9,75;
70.17;;Artigos de vidro para laborat¢rio, higiene ou farm†cia, mesmo graduados ou calibrados.;;
7017.10.00;;- De quartzo ou de outras s°licas, fundidos ;0;
7017.20.00;;- De outro vidro com um coeficiente de dilataá∆o linear n∆o superior a 5 x 10-6 por Kelvin, entre 0 ¯C e 300 ¯C ;0;
7017.90.00;;- Outros ;0;
70.18;;"Contas, imitaá‰es de pÇrolas naturais ou cultivadas, imitaá‰es de pedras preciosas ou semipreciosas e artigos semelhantes, de vidro e suas obras, exceto bijuterias; olhos de vidro, exceto de pr¢tese; estatuetas e outros objetos de ornamentaá∆o, de vidro trabalhado a maáarico, exceto bijuterias; microsferas de vidro, de diÉmetro n∆o superior a 1 mm.";;
7018.1;;"- Contas, imitaá‰es de pÇrolas naturais ou cultivadas, imitaá‰es de pedras preciosas ou semipreciosas e
artigos semelhantes, de vidro";;
7018.10.10;;Contas de vidro ;13;
7018.10.20;;Imitaá‰es de pÇrolas naturais ou cultivadas, pedras preciosas ou semipreciosas ;13;
7018.10.90;;Outros ;13;
7018.20.00;;- Microsferas de vidro, de diÉmetro n∆o superior a 1 mm ;13;
7018.90.00;;- Outros ;13;
70.19;;Fibras de vidro (incluindo a l∆ de vidro) e suas obras (por exemplo, fios, mechas ligeiramente torcidas (rovings), tecidos).;;
7019.1;;- Mechas, mesmo ligeiramente torcidas (rovings), fios cortados ou n∆o e mantas (mats) dessas matÇrias:;;
7019.11.00;;-- Fios cortados (chopped strands), de comprimento n∆o superior a 50 mm ;6,5;
7019.12;;-- Mechas ligeiramente torcidas (rovings);;
7019.12.10;;Impregnadas ou recobertas com resina de poliuretano ou borracha de estireno-butadieno;6,5;
7019.12.90;;Outras ;6,5;
7019.13.00;;-- Outros fios, mechas ;6,5;
7019.14.00;;-- Mantas (mats) consolidadas mecanicamente ;10;
7019.15.00;;-- Mantas (mats) consolidadas quimicamente ;10;
7019.19.00;;-- Outros ;10;
7019.6;;- Tecidos consolidados mecanicamente:;;
7019.61.00;;-- Tecidos de mechas ligeiramente torcidas (rovings) de malha fechada (closed woven fabrics) ;6,5;
7019.62.00;;-- Outros, obtidos de mechas ligeiramente torcidas (rovings) de malha fechada (other closed fabrics) ;6,5;
7019.63.00;;-- Tecidos de fios de malha fechada, em ponto de tafet†, n∆o revestidos nem estratificados ;6,5;
7019.64.00;;-- Tecidos de fios de malha fechada, em ponto de tafet†, revestidos ou estratificados ;6,5;
7019.65.00;;-- Tecidos de malha aberta de largura n∆o superior a 30 cm ;6,5;
7019.66.00;;-- Tecidos de malha aberta de largura superior a 30 cm ;6,5;
7019.69.00;;-- Outros ;6,5;
7019.7;;- Tecidos consolidados quimicamente:;;
7019.71.00;;-- VÇus (camadas finas) ;6,5;
7019.72.00;;-- Outros tecidos de malha fechada ;6,5;
7019.73;;-- Outros tecidos de malha aberta;;
7019.73.10;;Constitu°dos por fios paralelizados e superpostos entre si em Éngulo de 90¯, impregnados e soldados nos pontos de interseá∆o com resina termopl†stica, com densidade igual ou superior a 3 e inferior ou igual a 7 fios por cent°metro ;6,5;
7019.73.90;;Outros ;6,5;
7019.80.00;;- L∆ de vidro e suas obras ;6,5;
7019.90.00;;- Outras ;6,5;
7020;;Outras obras de vidro.;;
7020.00.10;;Ampolas de vidro para garrafas tÇrmicas ou para outros recipientes isotÇrmicos, cujo isolamento seja assegurado pelo v†cuo ;9,75;
7020.00.90;;Outras ;9,75;
71.01;;"PÇrolas naturais ou cultivadas, mesmo trabalhadas ou combinadas, mas n∆o enfiadas, nem montadas, nem engastadas; pÇrolas naturais ou cultivadas, enfiadas temporariamente para facilidade de transporte.";;
7101.10.00;;- PÇrolas naturais ;19,5;
7101.2;;- PÇrolas cultivadas:;;
7101.21.00;;-- Em bruto ;19,5;
7101.22.00;;-- Trabalhadas ;19,5;
71.02;;Diamantes, mesmo trabalhados, mas n∆o montados nem engastados.;;
7102.10.00;;- N∆o selecionados ;0;
7102.10.00;01;Em bruto;NT;
7102.2;;- Industriais:;;
7102.21.00;;-- Em bruto ou simplesmente serrados, clivados ou desbastados ;0;
7102.29.00;;-- Outros ;0;
7102.3;;- N∆o industriais:;;
7102.31.00;;-- Em bruto ou simplesmente serrados, clivados ou desbastados ;0;
7102.31.00;01;Em bruto;NT;
7102.39.00;;-- Outros ;0;
71.03;;"Pedras preciosas (exceto diamantes) ou semipreciosas, mesmo trabalhadas ou combinadas, mas n∆o enfiadas, nem montadas, nem engastadas; pedras preciosas (exceto diamantes) ou semipreciosas, n∆o combinadas, enfiadas temporariamente para facilidade de transporte.";;
7103.10.00;;- Em bruto ou simplesmente serradas ou desbastadas ;NT;
7103.9;;- Trabalhadas de outro modo:;;
7103.91.00;;-- Rubis, safiras e esmeraldas ;0;
7103.99.00;;-- Outras ;0;
71.04;;"Pedras sintÇticas ou reconstitu°das, mesmo trabalhadas ou combinadas, mas n∆o enfiadas, nem montadas, nem engastadas; pedras sintÇticas ou reconstitu°das, n∆o combinadas, enfiadas temporariamente para facilidade de transporte.";;
7104.10.00;;- Quartzo piezelÇtrico ;7,8;
7104.2;;- Outras, em bruto ou simplesmente serradas ou desbastadas:;;
7104.21.00;;-- Diamantes ;7,8;
7104.29.00;;-- Outras ;7,8;
7104.9;;- Outras:;;
7104.91.00;;-- Diamantes ;7,8;
7104.99.00;;-- Outras ;7,8;
71.05;;P¢ de diamantes, de pedras preciosas ou semipreciosas ou de pedras sintÇticas.;;
7105.10.00;;- De diamantes ;0;
7105.90.00;;- Outros ;0;
71.06;;Prata (incluindo a prata dourada ou platinada), em formas brutas ou semimanufaturadas, ou em p¢.;;
7106.10.00;;- P¢s ;0;
7106.9;;- Outras:;;
7106.91.00;;-- Em formas brutas ;0;
7106.92;;-- Em formas semimanufaturadas;;
7106.92.10;;Barras, fios e perfis de seá∆o maciáa ;0;
7106.92.20;;Chapas, lÉminas, folhas e tiras ;0;
7106.92.90;;Outras ;0;
7107.00.00;;Metais comuns folheados ou chapeados (plaquà) de prata, em formas brutas ou semimanufaturadas. ;6,5;
71.08;;Ouro (incluindo o ouro platinado), em formas brutas ou semimanufaturadas, ou em p¢.;;
7108.1;;- Para usos n∆o monet†rios:;;
7108.11.00;;-- P¢s ;0;
7108.12;;-- Noutras formas brutas;;
7108.12.10;;Bulh∆o dourado (bullion dorÇ) ;0;
7108.12.90;;Outras ;0;
7108.13;;-- Noutras formas semimanufaturadas;;
7108.13.10;;Barras, fios e perfis de seá∆o maciáa ;0;
7108.13.90;;Outros ;0;
7108.20.00;;- Para uso monet†rio ;0;
7109.00.00;;Metais comuns ou prata, folheados ou chapeados (plaquà) de ouro, em formas brutas ou semimanufaturadas. ;6,5;
71.1;;Platina, em formas brutas ou semimanufaturadas, ou em p¢.;;
7110.1;;- Platina:;;
7110.11.00;;-- Em formas brutas ou em p¢ ;0;
7110.19;;-- Outras;;
7110.19.10;;Barras, fios e perfis de seá∆o maciáa ;0;
7110.19.90;;Outras ;0;
7110.2;;- Pal†dio:;;
7110.21.00;;-- Em formas brutas ou em p¢ ;0;
7110.29.00;;-- Outras ;0;
7110.3;;- R¢dio:;;
7110.31.00;;-- Em formas brutas ou em p¢ ;0;
7110.39.00;;-- Outras ;0;
7110.4;;- Ir°dio, ¢smio e rutànio:;;
7110.41.00;;-- Em formas brutas ou em p¢ ;0;
7110.49.00;;-- Outras ;0;
7111.00.00;;Metais comuns, prata ou ouro, folheados ou chapeados (plaquà) de platina, em formas brutas ou semimanufaturadas. ;6,5;
71.12;;"Desperd°cios e res°duos de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquà); outros desperd°cios e res°duos que contenham metais preciosos ou compostos de metais preciosos, do tipo utilizado principalmente para a recuperaá∆o de metais preciosos, exceto os produtos da posiá∆o 85.49.";;
7112.3;;- Cinzas que contenham metais preciosos ou compostos de metais preciosos;;
7112.30.10;;Que contenham ouro, mas que n∆o contenham outros metais preciosos ;0;
7112.30.10;01;Do tipo dos utilizados principalmente para recuperaá∆o de metal precioso, exceto cinzas ou lixo de ourivessaria;NT;
7112.30.20;;Que contenham platina, mas que n∆o contenham outros metais preciosos ;0;
7112.30.20;01;Do tipo dos utilizados principalmente para recuperaá∆o de metal precioso, exceto cinzas ou lixo de ourivessaria;NT;
7112.30.90;;Outros ;0;
7112.30.90;01;Do tipo dos utilizados principalmente para recuperaá∆o de metal precioso, exceto cinzas ou lixo de ourivessaria;NT;
7112.9;;- Outros:;;
7112.91.00;;-- De ouro, de metais folheados ou chapeados (plaquà) de ouro, exceto varreduras de ourivesaria que contenham outros metais preciosos ;0;
7112.91.00;01;Res°duos do tipo dos utilizados para recuperaá∆o desse metal;NT;
7112.92.00;;-- De platina, de metais folheados ou chapeados (plaquà) de platina, exceto varreduras de ourivesaria que contenham outros metais preciosos ;0;
7112.92.00;01;Res°duos do tipo dos utilizados para recuperaá∆o desse metal;NT;
7112.99.00;;-- Outros ;0;
7112.99.00;01;Res°duos do tipo dos utilizados para recuperaá∆o de metal precioso;NT;
71.13;;Artigos de joalheria e suas partes, de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquà).;;
7113.1;;- De metais preciosos, mesmo revestidos, folheados ou chapeados de metais preciosos (plaquà):;;
7113.11.00;;-- De prata, mesmo revestida, folheada ou chapeada de outros metais preciosos (plaquà) ;7,8;
7113.19.00;;-- De outros metais preciosos, mesmo revestidos, folheados ou chapeados de metais preciosos (plaquà) ;12;
7113.20.00;;- De metais comuns folheados ou chapeados de metais preciosos (plaquà) ;7,8;
71.14;;Artigos de ourivesaria e suas partes, de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquà).;;
7114.1;;- De metais preciosos, mesmo revestidos, folheados ou chapeados de metais preciosos (plaquà):;;
7114.11.00;;-- De prata, mesmo revestida, folheada ou chapeada de outros metais preciosos (plaquà) ;7,8;
7114.19.00;;-- De outros metais preciosos, mesmo revestidos, folheados ou chapeados de metais preciosos (plaquà) ;7,8;
7114.20.00;;- De metais comuns folheados ou chapeados de metais preciosos (plaquà) ;7,8;
71.15;;Outras obras de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquà).;;
7115.10.00;;- Telas ou grades catalisadoras, de platina ;6,5;
7115.90.00;;- Outras ;6,5;
71.16;;Obras de pÇrolas naturais ou cultivadas, de pedras preciosas ou semipreciosas ou de pedras sintÇticas ou reconstitu°das.;;
7116.10.00;;- De pÇrolas naturais ou cultivadas ;7,8;
7116.2;;- De pedras preciosas ou semipreciosas ou de pedras sintÇticas ou reconstitu°das;;
7116.20.10;;De diamantes sintÇticos ;7,8;
7116.20.20;;Guias de agulhas, de rubi, para cabeáas de impress∆o ;7,8;
7116.20.90;;Outras ;7,8;
71.17;;Bijuterias.;;
7117.1;;- De metais comuns, mesmo prateados, dourados ou platinados:;;
7117.11.00;;-- Abotoaduras (bot‰es de punho) e artigos semelhantes ;7,8;
7117.19.00;;-- Outras ;7,8;
7117.90.00;;- Outras ;7,8;
71.18;;Moedas.;;
7118.1;;- Moedas sem curso legal, exceto de ouro;;
7118.10.10;;Destinadas a ter curso legal no pa°s importador ;NT;
7118.10.90;;Outras ;NT;
7118.90.00;;- Outras ;NT;
72.01;;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas prim†rias.;;
7201.10.00;;- Ferro fundido bruto n∆o ligado, que contenha, em peso, 0,5 % ou menos de f¢sforo ;3,25;
7201.20.00;;- Ferro fundido bruto n∆o ligado, que contenha, em peso, mais de 0,5 % de f¢sforo ;3,25;
7201.50.00;;"- Ligas de ferro fundido bruto; ferro spiegel (especular) ";3,25;
72.02;;Ferroligas.;;
7202.1;;- Ferromanganàs:;;
7202.11.00;;-- Que contenha, em peso, mais de 2 % de carbono ;3,25;
7202.19.00;;-- Outra ;3,25;
7202.2;;- Ferrossil°cio:;;
7202.21.00;;-- Que contenha, em peso, mais de 55 % de sil°cio ;3,25;
7202.29.00;;-- Outra ;3,25;
7202.30.00;;- Ferrossiliciomanganàs ;3,25;
7202.4;;- Ferrocromo:;;
7202.41.00;;-- Que contenha, em peso, mais de 4 % de carbono ;3,25;
7202.49.00;;-- Outra ;3,25;
7202.50.00;;- Ferrossiliciocromo ;3,25;
7202.60.00;;- Ferron°quel ;3,25;
7202.70.00;;- Ferromolibdànio ;3,25;
7202.80.00;;- Ferrotungstànio (ferrovolfrÉmio) e ferrossiliciotungstànio (ferrossiliciovolfrÉmio) ;3,25;
7202.9;;- Outras:;;
7202.91.00;;-- FerrotitÉnio e ferrossiliciotitÉnio ;3,25;
7202.92.00;;-- Ferrovan†dio ;3,25;
7202.93.00;;-- Ferroni¢bio (ferrocolìmbio) ;3,25;
7202.99;;-- Outras;;
7202.99.10;;Ferrof¢sforo ;3,25;
7202.99.90;;Outras ;3,25;
72.03;;"Produtos ferrosos obtidos por reduá∆o direta dos minÇrios de ferro e outros produtos ferrosos esponjosos, em pedaáos, esferas ou formas semelhantes; ferro de pureza m°nima, em peso, de 99,94 %, em pedaáos, esferas ou formas semelhantes.";;
7203.10.00;;- Produtos ferrosos obtidos por reduá∆o direta dos minÇrios de ferro ;3,25;
7203.90.00;;- Outros ;3,25;
72.04;;"Desperd°cios e res°duos, e sucata, de ferro fundido, ferro ou aáo; desperd°cios e res°duos, em lingotes, de ferro ou aáo.";;
7204.10.00;;- Desperd°cios e res°duos, e sucata, de ferro fundido ;NT;
7204.2;;- Desperd°cios e res°duos, e sucata, de ligas de aáo:;;
7204.21.00;;-- De aáo inoxid†vel ;NT;
7204.29.00;;-- Outros ;NT;
7204.30.00;;- Desperd°cios e res°duos, e sucata, de ferro ou aáo, estanhados ;NT;
7204.4;;- Outros desperd°cios e res°duos, e sucata:;;
7204.41.00;;-- Res°duos do torno e da fresa, aparas, lascas (meulures), p¢ de serra, limalhas e desperd°cios da estampagem ou do corte, mesmo em fardos ;NT;
7204.49.00;;-- Outros ;NT;
7204.50.00;;- Desperd°cios e res°duos, em lingotes ;3,25;
72.05;;Granalhas e p¢s de ferro fundido bruto, de ferro spiegel (especular), de ferro ou aáo.;;
7205.10.00;;- Granalhas ;3,25;
7205.2;;- P¢s:;;
7205.21.00;;-- De ligas de aáo ;3,25;
7205.29;;-- Outros;;
7205.29.10;;De ferro esponjoso, com um teor de ferro igual ou superior a 98 %, em peso ;3,25;
7205.29.20;;De ferro revestido com resina termopl†stica, com um teor de ferro igual ou superior a 98 %, em peso;3,25;
7205.29.90;;Outros ;3,25;
72.06;;Ferro e aáo n∆o ligado, em lingotes ou outras formas prim†rias, exceto o ferro da posiá∆o 72.03.;;
7206.10.00;;- Lingotes ;3,25;
7206.90.00;;- Outros ;3,25;
72.07;;Produtos semimanufaturados de ferro ou aáo n∆o ligado.;;
7207.1;;- Que contenham, em peso, menos de 0,25 % de carbono:;;
7207.11;;-- De seá∆o transversal quadrada ou retangular, com largura inferior a duas vezes a espessura;;
7207.11.10;;Billets ;3,25;
7207.11.90;;Outros ;3,25;
7207.12.00;;-- Outros, de seá∆o transversal retangular ;3,25;
7207.19.00;;-- Outros ;3,25;
7207.20.00;;- Que contenham, em peso, 0,25 % ou mais de carbono ;3,25;
72.08;;Produtos laminados planos, de ferro ou aáo n∆o ligado, de largura igual ou superior a 600 mm, laminados a quente, n∆o folheados ou chapeados, nem revestidos.;;
7208.10.00;;- Em rolos, simplesmente laminados a quente, apresentando motivos em relevo ;3,25;
7208.2;;- Outros, em rolos, simplesmente laminados a quente, decapados:;;
7208.25.00;;-- De espessura igual ou superior a 4,75 mm ;3,25;
7208.26;;-- De espessura igual ou superior a 3 mm, mas inferior a 4,75 mm;;
7208.26.10;;Com um limite m°nimo de elasticidade de 355 MPa ;3,25;
7208.26.90;;Outros ;3,25;
7208.27;;-- De espessura inferior a 3 mm;;
7208.27.10;;Com um limite m°nimo de elasticidade de 275 MPa ;3,25;
7208.27.90;;Outros ;3,25;
7208.3;;- Outros, em rolos, simplesmente laminados a quente:;;
7208.36;;-- De espessura superior a 10 mm;;
7208.36.10;;Com um limite m°nimo de elasticidade de 355 MPa ;3,25;
7208.36.90;;Outros ;3,25;
7208.37.00;;-- De espessura igual ou superior a 4,75 mm, mas n∆o superior a 10 mm ;3,25;
7208.38;;-- De espessura igual ou superior a 3 mm, mas inferior a 4,75 mm;;
7208.38.10;;Com um limite m°nimo de elasticidade de 355 MPa ;3,25;
7208.38.90;;Outros ;3,25;
7208.39;;-- De espessura inferior a 3 mm;;
7208.39.10;;Com um limite m°nimo de elasticidade de 275 MPa ;3,25;
7208.39.90;;Outros ;3,25;
7208.40.00;;- N∆o enrolados, simplesmente laminados a quente, apresentando motivos em relevo ;3,25;
7208.5;;- Outros, n∆o enrolados, simplesmente laminados a quente:;;
7208.51.00;;-- De espessura superior a 10 mm ;3,25;
7208.52.00;;-- De espessura igual ou superior a 4,75 mm, mas n∆o superior a 10 mm ;3,25;
7208.53.00;;-- De espessura igual ou superior a 3 mm, mas inferior a 4,75 mm ;3,25;
7208.54.00;;-- De espessura inferior a 3 mm ;3,25;
7208.90.00;;- Outros ;3,25;
72.09;;Produtos laminados planos, de ferro ou aáo n∆o ligado, de largura igual ou superior a 600 mm, laminados a frio, n∆o folheados ou chapeados, nem revestidos.;;
7209.1;;- Em rolos simplesmente laminados a frio:;;
7209.15.00;;-- De espessura igual ou superior a 3 mm ;3,25;
7209.16.00;;-- De espessura superior a 1 mm, mas inferior a 3 mm ;3,25;
7209.17.00;;-- De espessura igual ou superior a 0,5 mm, mas n∆o superior a 1 mm ;3,25;
7209.18.00;;-- De espessura inferior a 0,5 mm ;3,25;
7209.2;;- N∆o enrolados, simplesmente laminados a frio:;;
7209.25.00;;-- De espessura igual ou superior a 3 mm ;3,25;
7209.26.00;;-- De espessura superior a 1 mm, mas inferior a 3 mm ;3,25;
7209.27.00;;-- De espessura igual ou superior a 0,5 mm, mas n∆o superior a 1 mm ;3,25;
7209.28.00;;-- De espessura inferior a 0,5 mm ;3,25;
7209.90.00;;- Outros ;3,25;
72.1;;Produtos laminados planos, de ferro ou aáo n∆o ligado, de largura igual ou superior a 600 mm, folheados ou chapeados, ou revestidos.;;
7210.1;;- Estanhados:;;
